Muy Fácil,Fácil,Normal,Dificil,Maestro
mono,silla,corazon,paraguas,extrapolacion
vaso,plato,camiseta,motociclista,saborizante
amor,camisa,pantalon,campeonato,monitorizacion
rojo,muela,montaña,temporada,fisicoculturismo
roma,banana,guitarra,cataclismo,dodecaedro
masa,pasto,alambre,murcielago,amortizaciones
mesa,zapato,camioneta,pantanoso,musicalizacion
aire,banco,temperatura,templete,transgresion
suma,epico,carnicero,catapulta,caracterizacion
puma,comida,prensa,campesino,sarcopenia
goma,carro,tamarindo,investigacion,sarcoidosis
pera,carne,arquero,entrecortado,pancreatitis
cara,parte,tortilla,categoria,dendrita
bota,carta,lechuga,imposicion,osteoporosis
lobo,paloma,helio,saxofon,paralelepipedo
loco,queso,inicio,programacion,topologia
mina,hueso,grosella,entrenamiento,anabolicos
lana,camaron,pintura,ferrocarril,cartografia
fama,frijol,computadora,homogeneo,polarizacion
auto,limon,tableta,interrogatorio,climatologia
pesa,jarro,pantalla,cotizacion,heterogeneo
cama,sordo,calculo,ortodoxo,inmunodepresor
papa,sandia,naranja,intrinseco,amplificadores
rima,fresa,emperador,informacion,uzbekistan
pino,nieve,temblor,estiramientos,chicoloapan
alas,nariz,navegador,metabolismo,glucolisis
olas,morado,mentira,adicciones,arritmico
solo,leche,paraguas,infeccion,infravalorado
giro,tiempo,espacio,horroroso,monosacaridos
pato,dinero,vacaciones,profesional,desoxirribonucleico


